delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.12436329999999995,0.27935156549396994
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.21191120000000008,0.6182990931569646
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14409099999999997,1.3008165816297654
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.24728759999999994,0.8612779733881796
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.19044860000000008,0.65933189921373
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.13701110000000005,0.22779097741692883
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.13178789999999996,0.9526476859118436
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.2037624,0.682477384650777
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1233042863727083,0.9981118503894579
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.17645280000000008,1.2887854157167535
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1471053,0.9696646303990795
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.02896805878479025,0.2013202289376178
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.07143680000000008,0.3621882171242405
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1770984,0.7181580368582815
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.19799092657561235,1.328512577668541
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.12800959999999995,0.0409985770834887
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1847881,0.6007762126182317
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.10437790000000002,0.3803667061440944
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.2842247,0.47491826461227726
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14435890000000007,0.24998696713100402
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.16315900000000005,0.5970369454856091
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.16828569999999998,1.3278198629697435
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14244020000000002,1.2793246316628295
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.12046850000000009,0.0034089868351678174
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1505004000000001,0.779063593041734
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1729902000000001,0.7314775609632828
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14200619999999997,1.4206804247655058
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1126225999999999,1.5759841664286682
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.028777800000000076,0.406743841973684
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.08257160000000008,0.32784076479902863
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.11428900000000008,0.3762991081293603
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1569339999999999,1.2640607109138
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.20538060000000002,0.795820712070877
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1426898000000001,0.9499790646053687
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1363649,1.7114218357890836
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.16344690000000006,0.21057995867135879
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.18083099999999996,0.7022351345434252
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14205299999999998,0.5794190543087601
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14536480000000007,0.43298571555269755
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.2116792999999999,-0.11789644467839376
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1422931999999999,-0.6042987579653996
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1843558999999999,0.8896440388521012
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.19797179999999992,0.8243990043205157
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14623389999999992,0.547707050466266
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.11362760000000005,0.585118577483845
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.2829341000000001,0.7866685326993836
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14213070000000005,1.3150635432131839
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.10627620000000015,0.5251952143601872
