s_opt,s_corsika
1.5,1.3756367
1.5,1.2880888
1.5,1.355909
1.5,1.2527124
1.5,1.3095514
1.2,1.3370111
1.5,1.3682121
1.5,1.2962376
1.3960758863727083,1.2727716
1.5,1.3235472
1.5,1.3528947
1.2957883412152098,1.3247564
1.2,1.2714368
1.5,1.3229016
1.4860170265756123,1.2880261
1.5,1.3719904
1.5,1.3152119
1.2,1.3043779
1.5,1.2157753
1.5,1.3556411
1.5,1.336841
1.5,1.3317143
1.5,1.3575598
1.2,1.3204685
1.5,1.3494996
1.5,1.3270098
1.5,1.3579938
1.5,1.3873774
1.2,1.2287778
1.2,1.2825716
1.2,1.314289
1.5,1.343066
1.5,1.2946194
1.5,1.3573102
1.5,1.3636351
1.5,1.3365531
1.5,1.319169
1.5,1.357947
1.5,1.3546352
1.5,1.2883207
1.5,1.3577068
1.5,1.3156441
1.5,1.3020282
1.5,1.3537661
1.5,1.3863724
1.5,1.2170659
1.5,1.3578693
1.2,1.3062762
1.2,1.2709024
1.5,1.3457587
1.5,1.26115
1.5,1.3292085
1.2000000057760032,1.3242683
1.5,1.2886121
1.5,1.3403175
1.5,1.2961605
1.5,1.3489852
1.5,1.268222
1.5,1.3439105
1.5,1.3268843
1.4988761040481577,1.3090172
1.5,1.3338845
1.5,1.3344465
1.5,1.3604233
1.5,1.3301233
1.5,1.2792419
1.2,1.3208164
1.5,1.265581
1.5,1.3466958
1.2,1.3184711
1.2,1.2777338
1.5,1.3294638
1.2000000014396477,1.2438749
1.5,1.3919032
1.5,1.3609236
1.5,1.3496928
1.5,1.373181
1.5,1.305615
1.5,1.347236
1.5,1.3589236
1.5,1.2667185
1.5,1.331902
1.5,1.3049316
1.4913511740156946,1.3253794
1.5,1.357847
1.5,1.33975
1.2,1.3137138
1.2,1.3560412
1.2,1.3424989
1.5,1.3661848
1.5,1.3575712
1.2,1.2750947
1.5,1.3590194
1.5,1.3548003
1.5,1.3601451
1.5,1.3467975
1.5,1.3419075
1.5,1.2551662
1.5,1.2802329
1.5,1.3094537
