delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21083090000000015,0.1526231252208891
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.0004771000000001191,-0.010309712922646874
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.20660699999999999,-0.5091489443269431
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.26507290000000006,1.8426457138086698
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.22046500000000013,-0.4366551288926657
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.3183150000000001,0.813595346349985
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12134449999999997,0.4523561859344491
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.06250748045801657,0.15151950996411656
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.06232910000000014,-0.029604112107160078
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.023666500000000035,0.043983281160579896
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.09776530304912123,-0.016692954881615603
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.07029798441654878,0.11124326064748337
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11896280000000004,-0.015622406981988185
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.08203849758649762,0.20786159023262446
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.07585109999999995,0.06765299222369019
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.015288256163513037,0.10827211336214092
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.20542839999999996,0.06872478621088492
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.0552397,0.6780357190827287
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.09637359999999995,0.2026780961903671
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.012045925664333712,0.2559020503789217
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.03635500000000014,0.38069518285482823
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.13222918781652626,0.24016608925200036
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.24804360000000014,1.1222382422849002
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.15706170000000008,0.29327686390173396
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2030364,0.5130727821238675
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11300883754163338,-0.23441372068482766
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.015994000000000064,-0.44136446712707317
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.07532409982409471,0.3621003398066831
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1568761849414917,-0.005512850850170582
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.01642370000000004,0.19427256025943315
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11489680000000013,0.23164210380198733
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12843320000000014,0.15102929419657637
