s_opt,s_corsika
1.2,1.4108309
1.2,1.2004771
1.2,1.406607
1.2,1.4650729
1.2,1.420465
1.2,1.518315
1.2,1.3213445
1.4206632195419835,1.4831707
1.2,1.2623291
1.2,1.1763335
1.2706378969508787,1.3684032
1.2804590155834512,1.350757
1.2,1.3189628
1.3144064024135025,1.3964449
1.2,1.2758511
1.435004943836487,1.4502932
1.2,1.4054284
1.5,1.4447603
1.5,1.4036264
1.3398463256643338,1.3278004
1.2,1.236355
1.4952325878165262,1.3630034
1.2,1.4480436
1.2,1.3570617
1.2,1.4030364
1.2917062624583666,1.4047151
1.2,1.215994
1.4066430001759054,1.4819671
1.2726642150585084,1.4295404
1.2,1.2164237
1.2,1.3148968
1.2,1.3284332
1.2,1.430547
1.2,1.4004676
1.2,1.3723956
1.5,1.4393278
1.2,1.4225001
1.2,1.2329403
1.252346786049249,1.4948885
1.2560243873138492,1.3707645
1.2430976343779307,1.392302
1.5,1.3925254
1.4120433774935772,1.4204549
1.2,1.3789183
1.2,1.3742788
1.4834678510833648,1.445266
1.2,1.2695715
1.2439041831358042,1.3498616
1.2,1.3563273
1.2,1.413747
1.2,1.2856706
1.387821597059186,1.4851338
1.2,1.2779489
1.3829192870108336,1.3389877
1.2,1.3459271
1.2114738342020537,1.4229413
1.4757242307588274,1.3557343
1.2427792069123818,1.4587102
1.4479713093580626,1.3905427
1.4310207590169923,1.4457133
1.4717344165636086,1.3956217
1.2939139220650695,1.3374913
1.2,1.4321909
1.2018651860796186,1.4364598
1.499034325551399,1.4351368
1.2,1.3168823
1.5,1.3708535
1.4133861794370979,1.4083402
1.2,1.3700887
1.2503156437569536,1.3276619
1.2903885429616004,1.407691
1.4761190483450841,1.5073385
1.2053938922243976,1.4095836
1.2,1.2934797
1.2865543079912904,1.4036335
1.2,1.216304
1.2,1.3702295
1.2,1.2336475
1.2,1.4040151
1.2,1.3357055
1.2,1.2571324
1.2,1.4178467
1.4156281565836746,1.3425499
1.2,1.4929004
1.2,1.3258722
1.4842425010376739,1.3497329
1.305826692554648,1.4449812
1.2,1.4207901
1.2,1.3790194
1.2,1.3069592
1.2,1.3033987
1.2,1.4572014
1.2,1.3889667
1.2959977543325485,1.5012141
1.2,1.4124483
1.3631680975311495,1.4558636
1.229381965619562,1.4027003
1.2,1.3359399
1.2,1.2064121
1.456034962181546,1.3256445
1.2521693770088163,1.3603531
1.2,1.3754337
1.2,1.3218795
1.2,1.4480319
1.2,1.3794507
1.5,1.4028108
1.2405965653535325,1.4414264
1.2,1.3244618
1.2,1.3238983
1.2,1.3807175
1.2,1.3789866
1.2,1.407212
1.5,1.4217161
1.4548190444283353,1.3874359
1.3539058475715027,1.4367414
1.2,1.4430356
1.2,1.3897333
1.2441157856336107,1.4413702
1.2,1.3153379
1.5,1.4325444
1.4213644438902353,1.4795934
1.484330187842437,1.4252
1.2,1.3424909
1.2,1.3056844
1.344763245461406,1.3122507
1.2,1.4048162
1.374007655678145,1.3839806
1.2,1.3517495
1.2,1.3133311
1.5,1.3060882
1.2,1.4594489
1.2154872089066442,1.4046261
1.433932378242598,1.3646846
1.2,1.4590076
1.2,1.3162274
1.2,1.4157871
1.2773266444031763,1.4921776
1.2,1.4698247
1.2,1.1625918
1.2,1.4460036
1.2,1.3576839
1.2213035412195175,1.2893498
1.2,1.2959287
1.2,1.4059402
1.4342700243457183,1.3982403
1.2283628844284409,1.4580096
1.2,1.3373224
1.2,1.2390269
1.2,1.4358485
1.437092672832835,1.3651907
1.2,1.3231255
1.5,1.4392415
1.2359019488309546,1.3569974
1.3401906873509701,1.4136583
1.2,1.4848737
1.2,1.2488061
1.2,1.288415
1.2,1.2216674
1.3656896610799307,1.296023
1.2,1.3887784
1.2,1.3423035
1.2,1.3150916
1.3157575606027176,1.4386121
1.3447493145291045,1.3362601
1.3576300599175677,1.4034698
1.2182526963357692,1.4000009
1.2,1.4459351
1.2,1.3767296
1.2,1.3765908
1.2703967994902694,1.4778947
1.2266897335159435,1.4094962
1.2,1.3922455
1.205878678457258,1.2645868
1.3547061242669232,1.3777701
1.2,1.269091
1.2,1.4594864
1.2,1.3061152
1.2,1.3731296
1.2066278050289891,1.4190166
1.4969211012286543,1.4165623
1.423768586865155,1.3938632
1.244840240760877,1.2997706
1.2,1.3228085
1.3309531925263924,1.4242483
1.2,1.3701729
1.2,1.4933254
1.2,1.4340284
1.2,1.4323562
1.4969109304122756,1.4716821
1.2,1.3979139
1.2,1.3320537
1.2236392861962946,1.3928612
1.2,1.4143418
1.3268551743718615,1.4537382
1.2,1.3664776
1.2,1.4421237
1.5,1.4590198
1.2891170940159005,1.3016361
1.2,1.2294896
1.3433109699006605,1.344347
1.441968400229022,1.3488727
1.2,1.3116614
1.5,1.3756784
1.2,1.4259197
1.203827107484625,1.4302965
1.5,1.379617
1.2663004641485403,1.3499213
1.2,1.3772714
1.2,1.3319986
1.4392302591719222,1.4024992
1.4126235858193952,1.4395373
1.2,1.1263014
1.3407281603696266,1.3038089
1.2,1.3210481
1.4375779362031607,1.3997774
1.2,1.2883141
1.2020835514156076,1.3580513
1.2167872188314774,1.3550912
1.3173649509593321,1.389841
1.2188004478186043,1.380371
1.3212678272835852,1.4072872
1.2511727058198858,1.3981423
1.2,1.4789591
1.2,1.2563411
1.5,1.3699282
1.2061563770630415,1.2855778
1.2,1.4476745
1.239562019911816,1.300845
1.446568888983973,1.4718003
1.2063455349221386,1.3982604
1.2,1.2122501
1.2500842915412418,1.3575932
1.2001229488307366,1.3747714
1.3164202069343431,1.3752445
1.2,1.4136745
1.2087157578837047,1.4270993
1.2,1.4751387
1.2,1.3895544
1.2,1.4552958
1.4128230790809921,1.4154409
1.2652459322269431,1.4471004
1.4174085514177521,1.4023408
1.2316438008996737,1.3529606
1.2,1.3891292
1.2,1.3874478
1.3409976876553227,1.362792
1.4257271110205674,1.3684232
1.2,1.3627343
1.2,1.3752137
1.2,1.2951384
1.2057761841630028,1.3493801
1.2085727087617477,1.304927
1.4479685904235162,1.3659892
1.2,1.4137783
1.200204921260557,1.3672764
1.2,1.2635435
1.2,1.3315865
1.3725354800708252,1.3516493
1.5,1.4196005
1.5,1.4958435
1.2,1.3680098
1.2,1.4203594
1.2,1.3474143
1.2,1.3812814
1.2137841844890302,1.3825065
1.4981318747796906,1.40017
1.2,1.2373827
1.2761380638851076,1.4287524
1.5,1.4283
1.2,1.3455065
1.2,1.3979015
1.2,1.307066
1.2,1.2816634
1.5,1.4883722
1.265388973255674,1.3649487
1.2,1.4296495
1.49771848005453,1.3860655
1.3331277450105379,1.3684342
1.2,1.2580173
1.5,1.385433
1.2,1.4103882
1.2,1.3959658
1.5,1.3696626
1.2,1.390685
1.2,1.3776426
1.2,1.3084867
1.4982827538775996,1.3874145
1.4850051171927867,1.37877
1.2,1.300986
1.4860179206839241,1.3000038
1.492704559999202,1.3186218
1.2613851865549368,1.3151693
1.2,1.46794
1.2,1.5037063
1.4196361569593603,1.4251845
1.2,1.3905864
