NRUN	NEvent	NtrackX	NtrackY	Ntrack	Theta	Phi	IdEv	Nview	Sdet
810	3336	5	3	3	47.73	197.82	0	5	28.9743
810	14441	5	5	5	43.43	148.71	0	5	26.9756
810	20146	5	5	5	41.2	212.96	0	5	25.6804
810	30058	6	5	5	45.7	137.21	0	5	27.034
810	31403	9	9	8	43.25	213.27	0	8	26.7738
810	40876	6	7	6	61.34	141.83	0	7	34.4278
810	47861	5	5	4	47.2	229.7	0	5	26.4981
810	56238	13	12	12	58.12	251.41	0	13	23.4833
810	59283	7	7	6	41.69	210.94	0	6	26.0479
810	76438	9	9	8	59.01	238.12	0	9	28.9319
810	77949	5	5	5	55.58	140.63	0	5	32.0408
810	81078	8	7	7	60.25	161.36	0	7	34.5164
810	86652	7	6	6	54.5	239.89	0	5	26.7642
810	86744	7	8	7	46.74	203.44	0	7	28.7821
810	93957	5	5	5	58.97	114.82	0	5	26.358
810	94847	56	45	45	44.74	239.79	0	46	22.8457
810	100144	6	4	4	41.17	160.65	0	5	25.6438
810	103132	6	6	6	69.1	215.54	0	6	37.2106
810	107984	5	3	3	43.05	219.1	0	5	26.1607
810	110709	11	9	8	50.78	230.31	0	9	27.9659
810	122274	9	8	8	47.73	209.19	0	8	29.2761
810	136792	7	5	5	60.16	252.7	0	7	23.4669
810	139470	5	5	5	40.48	218.33	0	5	24.8622
810	145133	5	4	4	49.47	233.82	0	5	26.5419
810	156304	6	4	4	59.02	199.87	0	5	34.1413
810	189464	11	8	8	43.04	224.94	0	8	25.359
810	200353	7	7	7	46.37	144.83	0	7	28.2582
810	205477	5	5	5	44.36	195.95	0	5	27.089
810	207331	5	5	5	41.57	211.29	0	5	25.9674
810	208572	5	4	4	41.09	239.16	0	5	21.3589
810	209169	6	5	5	41.01	228.47	0	5	23.7094
810	222213	7	5	5	47.71	207.19	0	5	29.3038
810	222840	10	9	9	47.48	233.5	0	10	25.7486
810	226418	5	6	5	47.02	149.48	0	6	28.874
810	259555	5	5	5	46.42	216.65	0	5	28.1508
810	263918	10	8	8	59.88	108.68	0	6	24.0243
810	298607	7	5	5	41.23	245.66	0	6	19.5504
810	299083	10	7	5	53.05	117.95	0	6	25.5033
810	299489	10	9	9	59.73	251.49	0	10	23.9055
810	314767	5	5	5	53.89	224.37	0	5	30.53
810	352633	6	6	5	47.18	119.55	0	6	23.7019
810	356986	7	6	6	57.13	151.53	0	6	33.5734
810	357718	17	12	11	45.4	245.91	0	13	21.2156
810	362376	5	5	5	64.5	210.38	0	5	36.2301
810	371929	6	5	5	57.83	114.13	0	5	25.7285
810	375728	7	7	6	55.25	150.11	0	6	32.7412
810	396513	11	10	10	45	112.79	0	11	20.6109
810	400584	10	9	8	44.45	223.51	0	9	26.2996
810	408227	5	4	4	66.13	241.49	0	5	29.8458
810	415011	8	8	6	47.1	130.49	0	7	26.4921
810	418548	5	5	5	61.32	196.21	0	5	34.671
810	425262	5	5	5	49.26	213	0	5	29.8478
810	439209	8	9	8	41.07	201.98	0	8	25.7182
810	447110	6	5	4	56.6	151.3	0	5	33.3492
810	449575	6	6	6	57.05	234.09	0	6	29.4884
810	450572	19	21	13	62.06	246.7	0	14	26.6484
810	452334	6	6	5	44.9	156.02	0	5	27.8448
810	473557	10	8	8	49.28	124.49	0	7	26.0132
810	478038	8	7	7	44.2	141.15	0	8	26.7887
810	484966	7	6	5	66.69	203.17	0	6	36.9838
810	491464	5	5	5	50.35	132.02	0	5	28.2904
810	498327	5	5	5	42.31	242.49	0	5	20.9854
810	499469	4	5	4	50.04	156.09	0	5	30.4228
810	501271	6	6	6	63	159.71	0	5	35.6331
810	501954	14	15	14	46.43	135.13	0	13	27.0599
810	507999	7	7	7	47.64	239.43	0	7	24.202
810	515772	8	7	6	41.24	161.76	0	7	25.6086
810	541844	8	7	7	46.2	210.09	0	8	28.4737
810	543274	7	5	5	44.43	152.38	0	6	27.6125
810	563330	16	16	15	52.14	159.56	0	15	31.2644
810	565510	5	4	4	45.53	125.28	0	5	24.5619
810	566013	7	5	5	53.33	198.82	0	7	31.6908
810	575108	8	8	7	40.59	223.37	0	7	24.3138
810	575162	5	5	5	57.71	158.57	0	5	33.7173
810	581153	7	7	7	57.45	242.62	0	7	26.844
810	582525	5	4	4	56.6	242.92	0	5	26.4498
810	583299	5	5	5	54.46	117.67	0	5	25.9181
810	586899	5	4	4	66.62	214.67	0	5	36.5841
810	593177	5	4	4	43.61	226.57	0	5	25.3736
810	604550	11	9	9	45.42	208.26	0	11	28.1213
810	607954	5	5	5	42.57	153.84	0	5	26.6236
810	608867	7	8	7	42.14	195.64	0	7	25.8796
810	613261	8	8	8	51.15	162.65	0	8	30.5757
810	615960	7	7	7	46.82	223.43	0	7	27.4852
810	626298	37	31	29	48.23	129.26	0	28	26.7404
810	647315	9	8	8	41.53	108.24	0	8	17.6276
810	650402	5	5	5	41.68	164.64	0	5	25.6028
810	664531	7	7	5	49.52	152.91	0	6	30.1948
810	708137	10	10	9	61.56	157.14	0	10	35.2551
810	714351	8	7	7	49.74	249.66	0	8	21.5032
810	729721	5	5	5	47.82	131.58	0	5	27.0535
810	729803	6	6	6	50.98	129.38	0	6	27.9798
810	737619	5	3	3	40.96	126.04	0	5	22.5663
810	748329	5	5	5	48.03	160.86	0	5	29.2234
810	748727	6	6	6	58.02	209.63	0	6	33.8969
810	755358	56	43	43	53.73	157.66	0	51	32.0749
810	786742	8	7	7	42.18	219.66	0	7	25.637
