theta,phi,X0,Y0,Ne,s,r,rho,mask,worked_clusters,worked_stations,X0_opt,Y0_opt,Ne_opt,s_opt,loss
30.0,94.25482,-11.919572,15.444193,88465.35,1.4108309,"[19.22093748864834, 29.04373527434818, 36.133433805921726, 28.73236843205849, 18.380834238722247, 28.24352678691113, 25.217666707913416, 13.042509497498385, 22.08443024654396, 12.691036167917503, 33.69970982233035, 38.07681909116053, 49.56625357008022, 34.76894401852332, 38.61387375350942, 52.28488164845473, 55.873933667055944, 43.60046145909629, 36.66750607743968, 50.653933891880286, 65.3775367743406, 63.58391629610199, 75.9280202019612, 77.41811912660454, 32.751540775816515, 43.284069218792105, 33.776573502089136, 23.13168781399727, 61.0489902583139, 48.18447579337075, 57.014578091417256, 68.353924467327, 43.294836139755915, 48.411459914386974, 59.007780596408054, 54.84847010711439]","[18.2806587800747, 7.660444189862506, 8.88811451632802, 11.085258751380733, 5.6332135345877665, 4.553702182886076, 3.953208647123197, 11.071109917105698, 8.957598994417888, 53.04334221816644, 6.4678621001359895, 3.702483889533252, 1.5137380034458345, 6.101553033037883, 3.4305402418462236, 1.854421525466733, 2.419388694007222, 2.5276016534828556, 3.4874234257674797, 0.5428256784997334, 3.140514943657852, 1.1359211511728238, 0.8112306638461787, 1.142178639406111, 2.875192318020797, 1.1769316000182453, 4.440668516042756, 1.3984853356349758, 3.6271886854636954, 1.2146277216876424, 0.4252105860448465, 6.73639120125189, 2.4948425409270496, 0.9285296972204999, 5.3972136683580345]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-12.237105600738026,7.441361944640892,77917.63106785633,1.0553140119025786,0.25355583685443717
30.0,213.02768,38.91182,12.307955,459474.8,1.2004771,"[53.088047795514086, 64.19755972985146, 64.32966544180488, 53.59352520615334, 63.164958240812304, 73.3541022593057, 68.0381287592213, 57.22866887363681, 23.015362295842902, 34.88579440773791, 36.240641177315254, 26.517708767965416, 0.3730092155572202, 13.672981590370798, 18.873875315407194, 14.74452099963843, 32.64337187168795, 36.900895288304426, 22.44579041667694, 16.127587261611453, 67.68435515970917, 70.64907844574036, 82.79872412098507, 80.4648869462843, 62.910297695723116, 78.51842815742124, 71.02706441296391, 55.62164139711137, 27.998697102554477, 27.704056598972976, 41.81631865529125, 42.5224506014918, 59.374600789805214, 68.62347512545891, 74.47438699969756, 66.32080379577386]","[4.77125659221556, 4.329814053163295, 3.884113052996193, 3.7823733760089406, 3.7954813096581432, 3.715878579674697, 5.479283812569408, 5.580651323969771, 29.047212949613243, 13.080919661173004, 11.595754361734157, 23.001047169289937, 173.8875668223311, 39.96072745904689, 30.84274036128346, 50.029586001140316, 26.868360798533363, 19.776562365089973, 31.922869566010263, 87.87836679598179, 6.142872862699554, 1.5514676527279176, 3.724789110625662, 1.2819709756025452, 6.244693587465983, 3.9750541128763333, 1.1200547763487185, 2.6042570428150453, 20.35403687779496, 18.766708490325183, 7.329075074777369, 11.127484280888625, 3.736260824087189, 0.5974676005723999, 3.2157200138743325, 3.41655168591476]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",47.90352085387287,18.927613954613847,463495.72790160635,0.9359959753658424,0.21253370391570262
30.0,33.486603,8.324253,59.24051,23206.572,1.406607,"[61.23508089219204, 67.12062351687247, 76.80764091895541, 71.9803775495414, 40.454847563678555, 49.806415774822604, 55.74785155238418, 47.96814161328741, 49.94212063975093, 52.08292607376504, 74.88962204090753, 73.94386344899958, 56.4114779540891, 50.133805190737235, 64.14908919577407, 69.55330873688679, 30.58096893996009, 19.758880670956447, 34.114672851761895, 42.04313610119472, 111.23256835003187, 110.65143072438417, 124.4067027422391, 125.06424104217537, 16.883996286229184, 27.50925388818819, 26.31945044616112, 21.802233933756202, 83.15554052097568, 77.55140534000304, 92.00237875229098, 97.10948782806216, 87.59517590033495, 91.14918397285898, 102.85309541399268, 99.91601473701913]","[1.4819524637082726, 1.1663242447667004, 0.40498971030479525, 1.4014198649220349, 3.323914437759213, 1.2062629911957716, 3.7172553015918264, 3.994898825156979]","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False]","[2, 5, 7]","[4, 5, 17, 18, 24, 25, 26, 27]",-12.41226752614569,47.498181092405346,25169.089849499276,1.5955071205182634,0.19287921113956924
30.0,309.24078,-20.885979,48.46195,23464.807,1.4650729,"[36.63593208509178, 42.18500159648654, 53.26389996690488, 48.580339021482736, 10.522826094044893, 21.301099349414507, 28.38018049553458, 20.56251006518586, 30.047087118638867, 25.58166467016855, 48.42308432467392, 50.10510942598406, 59.52061953407231, 48.550867750263436, 57.58145377129975, 66.68918581330033, 54.39446968331848, 40.843155847418345, 42.26495074811362, 55.147417319736206, 95.55279754305907, 94.70489654000454, 107.79702004403944, 108.3658341865829, 12.263134607091562, 15.098267608637265, 4.985483281539661, 10.889784065660765, 77.23798176001168, 68.83410580614986, 80.18327192000326, 86.93397987473112, 65.60255498174679, 69.38198705264072, 81.68529404235557, 78.23260602452962]","[0.5664634177597557, 0.5553728196679091, 1.594135855756155, 1.3044554649329767, 4.339721508142424, 3.2443862135817363, 2.8476696915742825, 1.0257788547655429, 1.0240978402335468, 2.372127844066154, 0.48159467192684724, 1.875189201134007, 1.2901603448681713, 0.46603163567984973, 0.43414723945827016, 1.4333582324225727, 5.924045676138342, 3.530418364013113, 0.784255200769843, 0.48496060800261614, 0.6547715151455343]","[True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True, False, False]","[1, 2, 3, 5, 6, 7, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 17, 18, 22, 23, 24, 25, 26, 27, 32, 33]",-46.10780026036136,73.9531521998316,110880.68730803422,1.7484534059670467,0.2532345040070931
30.0,293.78748,41.383198,-61.36254,32542.87,1.420465,"[88.99186639563972, 97.614495562499, 91.30552271331604, 81.84021552504717, 109.27357850662412, 116.0976141935129, 107.8438024011472, 100.31203573415961, 79.8711295729908, 85.70936423745168, 68.97219829224126, 61.058837271586015, 65.41187625715666, 66.35194178531663, 53.74830265152088, 52.136610791609854, 95.5845174906458, 95.62436351034361, 80.9302254742768, 80.24885158052955, 34.04092199520364, 43.510635661863226, 45.07318481955409, 35.70212946946588, 109.39374231632544, 121.78289671001163, 113.4748610822265, 100.76914952969314, 40.9779394115747, 41.9002411826241, 29.538634837724032, 27.57365135265383, 73.59450864488306, 83.90037201923913, 80.60883973034551, 69.60626446168693]","[0.7601574790186998, 0.32295949938820623, 0.46225428217794834, 0.45045319853759386, 0.49328617751598347, 1.0115768669581995, 0.4734769917842818, 0.5449026641322345, 0.5388282602880059, 0.376112736398127, 1.4332042234699898, 1.764341461949232, 0.9333126973815079, 0.5905254766708466, 0.9553976720426139, 4.078064749880535, 6.44741407254847]","[True, False, True, False, False, False, False, False, False, False, True, True, True, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True, True, True, False, False, False, False]","[1, 3, 4, 5, 6, 8]","[0, 2, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 23, 28, 29, 30, 31]",43.84255061564903,-55.320701231168044,43016.06158208726,1.6019015337594724,0.3788256400274604
30.0,3.064331,34.778526,-68.80069,11426.586,1.518315,"[94.81671001409539, 101.75086675244339, 92.40385776996835, 84.73345488233288, 121.27234784885113, 126.8081051732814, 115.91308273849711, 109.84919388678581, 88.01055427203649, 93.18691173478862, 72.11227894469995, 65.35477237997925, 79.62613922786801, 80.7305266750973, 66.02613744585007, 64.7279763517966, 114.26249700030793, 114.98042994975403, 98.00011834112637, 97.19045556039157, 28.217663408725176, 36.053760208381796, 33.608318099559824, 25.12720104112135, 128.95006091455548, 142.53502386574996, 132.20241690637374, 118.44699277275531, 52.05113967490993, 52.64670339390599, 37.605531207611214, 36.81468798762685, 72.10205749866215, 80.6238903780487, 74.06043027000565, 64.72240498589572]","[4.811266210021041, 1.5354627152768576, 1.3043954059845062, 2.5826905195305985, 1.7253164111114125, 2.2212586751798304, 0.42110259031377184, 0.45432831819464514]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, True, True, True, False, False, True]","[6, 8, 9]","[20, 21, 22, 23, 30, 31, 32, 35]",30.909407930820727,-56.21893844054618,27117.517498394354,0.8279964511831023,0.029767939965562085
30.0,75.60092,6.847102,-64.43056,68971.164,1.3213445,"[67.24305053348127, 74.69812620383836, 65.93073183698087, 57.516544940376555, 92.12879472950932, 97.94026101318076, 87.88515326226202, 81.47818118703985, 58.907276362558264, 61.89449529357881, 40.94999633822628, 36.83324655806942, 69.13337531226198, 65.33325927350393, 52.76807603737761, 57.699627471452445, 97.95350576037318, 95.69847960657123, 80.81330002652074, 84.01366525786862, 6.3479287937839555, 12.017141997453585, 11.355632392922132, 6.262600335662287, 105.22856534678414, 117.94101448437797, 108.39981979720787, 95.61610354560007, 51.24630061550947, 43.67645599808319, 32.26275044015667, 42.149990231334854, 45.53036074967628, 55.22789401234194, 49.277471383285665, 38.35440238799583]","[0.42238368130311726, 1.0739871096320268, 1.4093968017799097, 0.9098953408438983, 0.4437310484851279, 1.091551035642624, 1.0643715902072626, 2.589013700078173, 1.8935110874292325, 1.305172265302844, 2.16155353842712, 1.1802392034995846, 0.40202655988495517, 0.6071218721023419, 12.319492130744747, 10.69528809407862, 38.33832391878453, 85.12597549252392, 1.2438968732589628, 2.0160455165839775, 1.6744532963124714, 1.5477610797416872, 3.494135126834962, 0.8456971405482872, 0.9695097985790996, 2.2412667550691743]","[False, True, True, True, True, False, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, False, False, False, False, True, True, True, True, True, True, True, True]","[1, 2, 3, 4, 5, 6, 8, 9]","[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23, 28, 29, 30, 31, 32, 33, 34, 35]",4.162795260149579,-71.99432275117339,83982.70804527774,1.2432791904225025,0.11869702714829135
30.0,143.2085,20.849777,31.176067,15321.92,1.4831707,"[49.73180345609106, 59.397127154601485, 67.50532459367383, 58.85087535506961, 37.31502529919868, 48.52616510639472, 51.263159155901334, 40.33307601182098, 24.985051363144542, 31.44480935072604, 53.172402475552026, 48.80412802366532, 24.301661475736203, 20.003760405924147, 34.13188614751501, 36.08621641359211, 21.976795733754944, 13.826558437155795, 3.9180206271717215, 15.643077892152816, 86.4016508872179, 89.27298407975786, 102.66757627973641, 100.01945721019763, 32.23570078990768, 46.05261197868271, 40.68599187115015, 27.958903590873337, 48.44310769250755, 46.175997479525535, 60.660064887253895, 62.15330829304318, 73.31212499289023, 80.56774832989584, 91.45014948482896, 84.89979026121131]","[1.0207568908609994, 0.4546906253913553, 0.9488749613122242, 0.7393391030590708, 0.461353534242002, 2.6025450447710545, 0.8076096816760737, 1.2580027304044583, 1.072439932968558, 0.9002054064739039, 1.3728982246503596, 1.466705123098885, 8.133516079042014, 2.8160872255883564, 1.4363381012183862, 1.0681969181793491]","[True, False, True, False, True, False, True, True, True, False, False, True, True, True, False, True, True, True, True, True, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False]","[1, 2, 3, 4, 5, 8]","[0, 2, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 18, 19, 28, 30]",22.97699999999506,28.4819999999972,114017.14526194998,1.9626237826528703,0.11660964505022828
30.0,299.9938,7.6105795,53.230495,168101.75,1.2623291,"[54.497044309523005, 63.666878866075116, 72.30317921724294, 64.10305294699474, 37.36892306125183, 48.95486373289899, 53.81704092817765, 43.14078024554058, 29.850558331687886, 36.16384814617629, 56.85081182096114, 52.365848492616216, 43.31344668611015, 37.690821633607605, 50.503227886374454, 54.38369529991771, 28.199852318909553, 15.00218723950106, 24.28870430882191, 33.497293906151576, 97.92319804843414, 99.54549426736482, 112.44920394102384, 110.86258102723338, 16.79823277266924, 28.020364641656215, 27.3471919691934, 20.199463642691132, 66.24149119846744, 62.35999661577238, 75.6761434249348, 78.34024842372988, 78.7334090412812, 85.59540250707875, 96.3073051496838, 90.05662647232278]","[1.6280232769687, 1.8448913242758773, 1.6642957925796507, 0.597435844744124, 5.787743300926394, 6.10508497168378, 2.992493350331376, 4.369416614858115, 10.545915946727844, 4.065454006195068, 2.579129142005269, 1.8535250934158882, 1.374632937879097, 1.0898652054914613, 2.2129977985126215, 0.7948767302966697, 6.189740285640809, 15.740654817441612, 9.206606847483936, 4.294794507142973, 43.835477131169014, 17.568845574448744, 14.270398674941642, 18.611842539252304, 1.7195334885178541, 1.782666982674017, 1.1010049138127302, 0.6171628923677817, 1.6974454245916224]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True, True, False, True, True, False, True, True, False, True]","[1, 2, 3, 4, 5, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 24, 25, 26, 27, 29, 30, 32, 33, 35]",-3.664721076645529,60.78679834816029,134018.78618059255,1.1693575858210226,0.23243008707387192
30.0,132.12518,11.464107,48.833687,44290.027,1.1763335,"[57.357337757640245, 65.3764962695135, 75.22865151161612, 68.08014622946583, 36.00453720387747, 46.74096376605447, 53.421754058744035, 43.87791226120121, 40.53825108487145, 43.59193398480157, 66.609939451191, 64.00018203910598, 41.37047713923313, 36.42904690861287, 49.74783717832585, 52.95160914320365, 24.819819740332825, 11.470915349201068, 21.326162329229945, 29.39416665705475, 98.82056878625441, 100.9214318729267, 114.17762537427794, 112.18330623747235, 19.28154550459279, 31.544545805116645, 29.68003070373254, 21.218271986440772, 64.99045631890594, 61.70274568144262, 75.54782465374402, 78.11151738806234, 83.63610164735003, 89.68957020576741, 101.22314476565873, 95.69519586476645]","[0.832094833618257, 1.0455295261813373, 0.5500806359256186, 0.7180811428442233, 0.8244538997731556, 1.316311882763374, 2.3918644320674054, 0.7842166758165126, 0.3791134804487228, 1.3925212367278772, 1.9024565089039684, 0.5131881774925603, 0.4810267468778098, 7.0550114643283, 29.066958078523957, 11.074268963278794, 1.5659539437875514, 1.952820616524394, 1.899260754992322, 1.5055599009118428, 2.0546600586030537, 1.6465419676245712, 0.36604595711318455, 0.8695973310528731, 0.9832342223423283]","[True, False, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True, True, False, True, True, False, False, True, True, False]","[1, 2, 3, 4, 5, 7, 8, 9]","[0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 24, 25, 26, 27, 29, 30, 33, 34]",22.97629649245902,45.5740472934563,94727.18313863824,1.8074292613181182,0.36091579456946193
