DateTime	T	RH	P
2024-01-01 00:00:00	-11.0	56	989.0
2024-01-01 00:05:00	-11.0	55	989.2
2024-01-01 00:10:00	-11.0	56	989.2
2024-01-01 00:15:00	-11.0	57	989.2
2024-01-01 00:20:00	-11.1	58	989.3
2024-01-01 00:25:00	-11.0	58	989.4
2024-01-01 00:30:00	-11.0	58	989.5
2024-01-01 00:35:00	-11.0	58	989.6
2024-01-01 00:40:00	-11.0	59	989.5
2024-01-01 00:45:00	-11.1	59	989.6
2024-01-01 00:50:00	-11.1	60	989.7
2024-01-01 00:55:00	-11.3	60	989.7
2024-01-01 01:00:00	-11.4	61	989.8
2024-01-01 01:05:00	-11.4	61	989.9
2024-01-01 01:10:00	-11.3	61	989.9
2024-01-01 01:15:00	-11.3	62	989.9
2024-01-01 01:20:00	-11.3	62	989.9
2024-01-01 01:25:00	-11.4	62	990.0
2024-01-01 01:30:00	-11.4	62	990.1
2024-01-01 01:35:00	-11.3	62	990.2
2024-01-01 01:40:00	-11.3	62	990.2
2024-01-01 01:45:00	-11.3	63	990.3
2024-01-01 01:50:00	-11.3	63	990.5
2024-01-01 01:55:00	-11.4	63	990.5
2024-01-01 02:00:00	-11.4	63	990.5
2024-01-01 02:05:00	-11.4	63	990.7
2024-01-01 02:10:00	-11.5	64	990.7
2024-01-01 02:15:00	-11.5	63	990.8
2024-01-01 02:20:00	-11.5	64	990.9
2024-01-01 02:25:00	-11.5	64	991.0
2024-01-01 02:30:00	-11.5	64	991.1
2024-01-01 02:35:00	-11.5	63	991.2
2024-01-01 02:40:00	-11.5	63	991.2
2024-01-01 02:45:00	-11.6	62	991.3
2024-01-01 02:50:00	-11.7	63	991.2
2024-01-01 02:55:00	-11.8	62	991.3
2024-01-01 03:00:00	-11.8	63	991.4
2024-01-01 03:05:00	-11.8	63	991.5
2024-01-01 03:10:00	-11.8	63	991.6
2024-01-01 03:15:00	-11.8	63	991.6
2024-01-01 03:20:00	-11.8	63	991.7
2024-01-01 03:25:00	-11.8	62	991.8
2024-01-01 03:30:00	-11.9	63	991.9
2024-01-01 03:35:00	-11.9	62	992.0
2024-01-01 03:40:00	-11.9	62	992.1
2024-01-01 03:45:00	-11.9	62	992.2
2024-01-01 03:50:00	-11.9	62	992.2
2024-01-01 03:55:00	-11.9	63	992.2
2024-01-01 04:00:00	-11.9	62	992.2
2024-01-01 04:05:00	-12.0	64	992.4
2024-01-01 04:10:00	-11.9	63	992.4
2024-01-01 04:15:00	-11.9	63	992.6
2024-01-01 04:20:00	-11.9	63	992.6
2024-01-01 04:25:00	-12.0	63	992.7
2024-01-01 04:30:00	-11.9	63	992.7
2024-01-01 04:35:00	-11.9	63	992.8
2024-01-01 04:40:00	-11.9	63	992.9
2024-01-01 04:45:00	-11.9	63	992.9
2024-01-01 04:50:00	-11.9	64	993.0
2024-01-01 04:55:00	-11.8	64	993.0
2024-01-01 05:00:00	-11.9	64	992.9
2024-01-01 05:05:00	-11.9	64	993.1
2024-01-01 05:10:00	-11.9	65	993.2
2024-01-01 05:15:00	-11.8	65	993.2
2024-01-01 05:20:00	-11.8	65	993.3
2024-01-01 05:25:00	-11.8	65	993.4
2024-01-01 05:30:00	-11.7	66	993.4
2024-01-01 05:35:00	-11.7	66	993.4
2024-01-01 05:40:00	-11.7	65	993.5
2024-01-01 05:45:00	-11.7	65	993.4
2024-01-01 05:50:00	-11.7	65	993.5
2024-01-01 05:55:00	-11.7	65	993.5
2024-01-01 06:00:00	-11.7	65	993.5
2024-01-01 06:05:00	-11.7	65	993.5
2024-01-01 06:10:00	-11.6	65	993.6
2024-01-01 06:15:00	-11.6	65	993.5
2024-01-01 06:20:00	-11.7	65	993.6
2024-01-01 06:25:00	-11.6	66	993.7
2024-01-01 06:30:00	-11.7	66	993.8
2024-01-01 06:35:00	-11.6	66	993.8
2024-01-01 06:40:00	-11.6	66	993.8
2024-01-01 06:45:00	-11.7	66	993.8
2024-01-01 06:50:00	-11.7	66	993.9
2024-01-01 06:55:00	-11.7	66	993.9
2024-01-01 07:00:00	-11.6	67	993.9
2024-01-01 07:05:00	-11.6	67	994.0
2024-01-01 07:10:00	-11.5	67	994.1
2024-01-01 07:15:00	-11.8	65	994.1
2024-01-01 07:20:00	-11.8	64	994.1
2024-01-01 07:25:00	-11.9	64	994.0
2024-01-01 07:30:00	-11.9	64	994.2
2024-01-01 07:35:00	-12.0	64	994.1
2024-01-01 07:40:00	-11.9	64	994.2
2024-01-01 07:45:00	-11.8	64	994.2
2024-01-01 07:50:00	-11.6	64	994.3
2024-01-01 07:55:00	-11.7	64	994.3
2024-01-01 08:00:00	-11.7	64	994.3
2024-01-01 08:05:00	-11.8	64	994.3
2024-01-01 08:10:00	-11.8	64	994.4
2024-01-01 08:15:00	-11.8	64	994.4
2024-01-01 08:20:00	-11.8	64	994.4
2024-01-01 08:25:00	-11.8	64	994.4
2024-01-01 08:30:00	-11.6	64	994.4
2024-01-01 08:35:00	-11.6	63	994.5
2024-01-01 08:40:00	-11.7	63	994.4
2024-01-01 08:45:00	-11.7	62	994.4
2024-01-01 08:50:00	-11.7	62	994.5
2024-01-01 08:55:00	-11.7	62	994.5
2024-01-01 09:00:00	-11.7	62	994.6
2024-01-01 09:05:00	-11.6	63	994.6
2024-01-01 09:10:00	-11.6	62	994.7
2024-01-01 09:15:00	-11.6	62	994.8
2024-01-01 09:20:00	-11.5	62	994.7
2024-01-01 09:25:00	-11.5	61	994.7
2024-01-01 09:30:00	-11.5	62	994.7
2024-01-01 09:35:00	-11.5	61	994.8
2024-01-01 09:40:00	-11.6	61	994.9
2024-01-01 09:45:00	-11.6	62	994.9
2024-01-01 09:50:00	-11.6	61	994.9
2024-01-01 09:55:00	-11.5	62	995.0
2024-01-01 10:00:00	-11.5	62	994.9
2024-01-01 10:05:00	-11.4	62	994.9
2024-01-01 10:10:00	-11.2	62	994.9
2024-01-01 10:15:00	-11.1	61	994.8
2024-01-01 10:20:00	-11.3	61	994.9
2024-01-01 10:25:00	-11.1	61	994.9
2024-01-01 10:30:00	-11.0	61	994.8
2024-01-01 10:35:00	-10.9	61	994.8
2024-01-01 10:40:00	-11.0	60	994.9
2024-01-01 10:45:00	-11.0	60	994.9
2024-01-01 10:50:00	-11.1	61	994.8
2024-01-01 10:55:00	-11.1	61	994.9
2024-01-01 11:00:00	-11.1	61	994.9
2024-01-01 11:05:00	-11.1	61	995.0
2024-01-01 11:10:00	-11.2	62	995.0
2024-01-01 11:15:00	-11.2	62	995.0
2024-01-01 11:20:00	-11.3	62	995.0
2024-01-01 11:25:00	-11.4	62	995.0
2024-01-01 11:30:00	-11.4	62	995.0
2024-01-01 11:35:00	-11.4	61	995.0
2024-01-01 11:40:00	-11.5	62	995.1
2024-01-01 11:45:00	-11.5	62	995.1
2024-01-01 11:50:00	-11.5	63	995.1
2024-01-01 11:55:00	-11.4	62	995.1
2024-01-01 12:00:00	-11.5	63	995.1
2024-01-01 12:05:00	-11.6	63	995.2
2024-01-01 12:10:00	-11.6	63	995.2
2024-01-01 12:15:00	-11.6	63	995.2
2024-01-01 12:20:00	-11.7	63	995.2
2024-01-01 12:25:00	-11.7	63	995.3
2024-01-01 12:30:00	-11.7	63	995.3
2024-01-01 12:35:00	-11.7	62	995.3
2024-01-01 12:40:00	-11.7	63	995.3
2024-01-01 12:45:00	-11.7	63	995.3
2024-01-01 12:50:00	-11.7	62	995.2
2024-01-01 12:55:00	-11.8	63	995.3
2024-01-01 13:00:00	-11.8	63	995.3
2024-01-01 13:05:00	-11.8	63	995.3
2024-01-01 13:10:00	-11.9	63	995.4
2024-01-01 13:15:00	-11.9	64	995.4
2024-01-01 13:20:00	-11.9	64	995.4
2024-01-01 13:25:00	-11.9	64	995.4
2024-01-01 13:30:00	-11.9	64	995.4
2024-01-01 13:35:00	-11.9	63	995.4
2024-01-01 13:40:00	-11.9	64	995.4
2024-01-01 13:45:00	-11.9	64	995.4
2024-01-01 13:50:00	-12.0	63	995.4
2024-01-01 13:55:00	-11.9	63	995.4
2024-01-01 14:00:00	-11.9	63	995.4
2024-01-01 14:05:00	-12.0	63	995.4
2024-01-01 14:10:00	-12.1	62	995.4
2024-01-01 14:15:00	-12.1	63	995.4
2024-01-01 14:20:00	-12.2	63	995.4
2024-01-01 14:25:00	-12.2	63	995.3
2024-01-01 14:30:00	-12.1	63	995.3
2024-01-01 14:35:00	-12.1	63	995.2
2024-01-01 14:40:00	-12.1	64	995.3
2024-01-01 14:45:00	-12.1	64	995.5
2024-01-01 14:50:00	-11.9	64	995.5
2024-01-01 14:55:00	-11.9	64	995.4
2024-01-01 15:00:00	-11.9	64	995.5
2024-01-01 15:05:00	-11.9	64	995.5
2024-01-01 15:10:00	-11.9	64	995.5
2024-01-01 15:15:00	-11.9	65	995.5
2024-01-01 15:20:00	-11.9	65	995.5
2024-01-01 15:25:00	-11.9	65	995.5
2024-01-01 15:30:00	-12.1	66	995.5
2024-01-01 15:35:00	-11.9	66	995.5
2024-01-01 15:40:00	-12.0	66	995.5
2024-01-01 15:45:00	-12.1	66	995.5
2024-01-01 15:50:00	-12.2	68	995.5
2024-01-01 15:55:00	-12.3	69	995.5
2024-01-01 16:00:00	-12.1	67	995.6
2024-01-01 16:05:00	-12.3	67	995.6
2024-01-01 16:10:00	-12.6	68	995.6
2024-01-01 16:15:00	-12.6	68	995.5
2024-01-01 16:20:00	-12.5	68	995.6
2024-01-01 16:25:00	-12.5	68	995.6
2024-01-01 16:30:00	-12.6	68	995.6
2024-01-01 16:35:00	-12.7	67	995.6
2024-01-01 16:40:00	-12.8	68	995.7
